date,symbol,close,trading_signal,confidence_level,position_size,sma,rsi,adx,cci,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change
2026-03-30,WDC,251.67,HOLD,0.0,0,277.7,40.16,9.25,-61.16,0.6,3.43,-2.83,319.97,277.7,235.43,2,-2,-2,-2,-1,-2,2
2026-03-31,WDC,270.49,HOLD,0.6,20,278.7,47.36,14.02,-55.04,0.79,4.21,-3.42,319.27,278.7,238.12,2,1,1,1,1,1,0
2026-04-01,WDC,297.73,BUY,0.6,10,280.52,55.1,13.63,58.02,1.41,2.73,-1.32,321.08,280.52,239.96,2,2,2,2,1,2,1
2026-04-02,WDC,294.97,BUY,0.6,10,282.31,54.2,13.39,36.42,2.31,2.65,-0.33,322.08,282.31,242.55,2,2,2,2,2,2,2
2026-04-03,WDC,294.97,BUY,0.6,10,282.31,54.2,13.39,36.42,2.31,2.65,-0.33,322.08,282.31,242.55,2,1,1,1,1,1,0
2026-04-06,WDC,304.15,BUY,0.7,20,285.26,57.02,13.76,90.73,4.2,3.54,0.65,322.24,285.26,248.28,2,1,1,1,1,1,0
2026-04-07,WDC,311.96,BUY,0.7,20,287.75,58.82,11.79,90.85,4.92,2.76,2.16,324.87,287.75,250.64,0,0,0,0,0,0,0
2026-04-08,WDC,338.78,HOLD,0.6,20,291.38,65.14,12.65,211.44,8.22,3.79,4.43,333.25,291.38,249.52,2,-2,-2,-2,-2,-2,2
2026-04-09,WDC,337.88,BUY,0.7,20,294.84,64.78,14.02,179.74,10.75,5.18,5.57,339.95,294.84,249.72,2,2,2,2,2,2,1
2026-04-10,WDC,343.43,BUY,0.7,20,298.95,66.03,15.45,170.59,13.06,6.75,6.3,346.0,298.95,251.9,2,1,1,1,1,1,0
2026-04-13,WDC,350.16,BUY,0.7,20,302.84,67.77,17.61,166.14,15.23,8.53,6.7,353.2,302.84,252.49,2,2,2,2,2,2,1
2026-04-14,WDC,366.22,BUY,0.7,10,306.84,71.17,19.57,172.44,18.16,10.58,7.58,363.58,306.84,250.1,2,2,2,2,2,2,1
2026-04-15,WDC,365.0,HOLD,0.6,20,309.4,70.55,20.71,148.92,19.96,12.35,7.61,371.53,309.4,247.27,0,0,0,0,0,0,0
2026-04-16,WDC,361.69,BUY,0.7,20,312.24,68.85,22.31,124.44,20.97,14.07,6.9,378.35,312.24,246.13,2,1,1,1,1,1,0
2026-04-17,WDC,372.52,HOLD,0.6,20,315.02,71.28,24.15,127.84,22.38,15.74,6.65,386.17,315.02,243.87,0,0,0,0,0,0,0
2026-04-20,WDC,374.11,HOLD,0.7,20,319.07,71.83,24.55,112.6,23.38,17.24,6.14,393.89,319.07,244.25,1,0,0,0,1,-1,-1
2026-04-21,WDC,383.81,BUY,0.7,10,323.52,73.92,26.07,111.58,24.62,18.64,5.98,402.51,323.52,244.53,2,1,1,1,1,1,0
2026-04-22,WDC,389.1,BUY,0.7,10,327.93,75.17,27.34,116.03,25.96,20.27,5.68,411.12,327.93,244.73,2,2,2,2,1,2,1
2026-04-23,WDC,403.12,BUY,0.7,10,333.27,77.83,29.69,122.56,27.66,21.75,5.91,421.23,333.27,245.32,2,1,1,1,1,1,0
2026-04-24,WDC,404.0,BUY,0.7,10,339.81,77.99,31.87,121.55,28.75,23.15,5.6,428.39,339.81,251.22,2,2,2,2,2,2,1
2026-04-27,WDC,400.73,BUY,0.7,10,346.08,76.16,34.79,108.04,28.95,24.27,4.69,433.26,346.08,258.89,2,2,2,2,2,2,1
2026-04-28,WDC,390.99,BUY,0.7,10,353.04,69.87,33.8,71.77,28.16,25.2,2.96,430.68,353.04,275.4,2,2,2,2,2,2,1
2026-04-29,WDC,412.76,BUY,0.7,10,360.16,75.18,37.7,134.03,29.24,26.49,2.75,432.1,360.16,288.21,2,1,1,1,1,1,0
2026-04-30,WDC,434.52,BUY,0.7,10,367.0,78.99,38.54,141.0,31.17,27.42,3.75,439.9,367.0,294.09,2,1,1,1,1,1,1
2026-05-01,WDC,431.52,BUY,0.7,10,373.82,77.23,38.13,122.28,32.1,28.36,3.74,443.99,373.82,303.65,2,2,2,2,2,2,1
2026-05-04,WDC,442.36,HOLD,0.6,20,380.73,79.51,40.52,138.95,33.67,29.98,3.68,449.3,380.73,312.17,2,-1,-1,-1,-1,-1,1
2026-05-05,WDC,465.26,HOLD,0.7,20,388.4,83.05,42.9,174.04,36.58,31.99,4.59,458.75,388.4,318.05,2,1,1,1,1,1,0
2026-05-06,WDC,483.15,HOLD,0.6,20,395.62,84.94,44.8,159.55,38.77,32.62,6.15,473.36,395.62,317.87,2,2,2,2,2,2,1
2026-05-07,WDC,483.15,HOLD,0.6,20,395.62,84.94,44.80,159.55,38.77,32.62,6.15,473.36,395.62,317.87,2,1,1,1,1,0,-1
